Artist,Hour,stage,date
Amaarae,18:45 - 19:30,Cupra FKA Seat,02.06.22
Kacey Musgraves,20:35 - 21:35,Cupra FKA Seat,02.06.22
Tame Impala,23:15 - 00:45,Cupra FKA Seat,02.06.22
Bad Gyal,02:05 - 03:00,Cupra FKA Seat,02.06.22
Verde Prato,18:00 - 18:40,Pull & Bear,02.06.22
Mabel,19:35 - 20:30,Pull & Bear,02.06.22
Pavement,21:40 - 23:10,Pull & Bear,02.06.22
Charli XCX,00:50 - 02:00,Pull & Bear,02.06.22
Faye Webster,16:45 - 17:25,Dice FKA Ray-Ban,02.06.22
100 gecs,18:10 - 18:50,Dice FKA Ray-Ban,02.06.22
Yo La Tengo,19:50 - 20:50,Dice FKA Ray-Ban,02.06.22
Kehlani,22:10 - 23:20,Dice FKA Ray-Ban,02.06.22
Dinosaur Jr.,00:30 - 01:40,Dice FKA Ray-Ban,02.06.22
DJ Shadow,03:00 - 04:00,Dice FKA Ray-Ban,02.06.22
Honey Dijon,04:10 - 06:00,Dice FKA Ray-Ban,02.06.22
Carolina Durante,17:25 - 18:05,Primavera,02.06.22
Les Savy Fav,18:55 - 19:45,Primavera,02.06.22
Sharon Van Etten,20:55 - 22:05,Primavera,02.06.22
El Mato a un Policia Motorizado,23:25 - 00:25,Primavera,02.06.22
Cigarettes After Sex,01:45 - 02:55,Primavera,02.06.22
CARLA,17:45 - 18:30,Pitchfork,02.06.22
Gustaf,19:25 - 20:10,Pitchfork,02.06.22
Kim Gordon,21:05 - 21:50,Pitchfork,02.06.22
Rina Sawayama,22:45 - 23:30,Pitchfork,02.06.22
girl in red,00:25 - 01:10,Pitchfork,02.06.22
black midi,02:05 - 02:50,Pitchfork,02.06.22
Aiko El Groupo,17:00 - 17:40,Adidas,02.06.22
Pond,18:35 - 19:20,Adidas,02.06.22
The Linda Lindas,20:15 - 20:55,Adidas,02.06.22
Otoboke Beaver,21:55 - 22:40,Adidas,02.06.22
Black Lips,23:35 - 00:20,Adidas,02.06.22
The Armed,01:15 - 02:00,Adidas,02.06.22
Soto Asa,02:55 - 03:40,Adidas,02.06.22
Richard Dawson,16:00 - 16:55,Auditori,02.06.22
Rodrigo Cuevas,17:30 - 18:30,Auditori,02.06.22
Lingua Ignota,19:00 - 20:00,Auditori,02.06.22
Maria del Mar Bonet,21:00 - 22:00,Auditori,02.06.22
Neska,01:30 - 02:30,NTS Warehouse,02.06.22
AFRODEUTSCHE,21:00 - 22:00,Desperados Cube (Primavera Bits),02.06.22
Ivy Barkakati,22:00 - 23:00,Desperados Cube (Primavera Bits),02.06.22
CRYSTALLMESS,23:00 - 00:00,Desperados Cube (Primavera Bits),02.06.22
VTSS ,01:00 - 02:30,Desperados Cube (Primavera Bits),02.06.22
Call SUper,02:30 - 04:00,Desperados Cube (Primavera Bits),02.06.22
Fred Again..,04:00 - 05:00,Desperados Cube (Primavera Bits),02.06.22
D. Tiffany,02:45 - 03:30,El Punto by adidas Originals (Primavera Bits),02.06.22
Rombo,19:00 - 19:45,Lotus (Primavera Bits),02.06.22
Pelada,20:00 - 20:45,Lotus (Primavera Bits),02.06.22
oklou,21:00 - 21:45,Lotus (Primavera Bits),02.06.22
Osheyack,22:00 - 23:00,Lotus (Primavera Bits),02.06.22
Hannah Diamond,23:30 - 00:25,Lotus (Primavera Bits),02.06.22
Big Freedia,01:00 - 01:50,Lotus (Primavera Bits),02.06.22
Shygirl,02:25 - 03:25,Lotus (Primavera Bits),02.06.22
MYD  Band,04:00 - 05:25,Lotus (Primavera Bits),02.06.22
Kareem Ali,14:00 - 15:15,Xiringuito Aperol (Primavera Bits),02.06.22
Carista,16:45 - 18:00,Xiringuito Aperol (Primavera Bits),02.06.22
Moin,21:15 - 22:00,Escenario Ouigo,02.06.22
Amaia,18:50 - 19:35,Cupra FKA Seat,03.06.22
Fontaines D.C.,20:30 - 21:30,Cupra FKA Seat,03.06.22
The Strokes,23:10 - 00:40,Cupra FKA Seat,03.06.22
Caribou,02:05 - 03:00,Cupra FKA Seat,03.06.22
Marina Herlop,18:00 - 18:45,Pull & Bear,03.06.22
Parquet Courts,19:40 - 20:25,Pull & Bear,03.06.22
The National,21:35 - 23:05,Pull & Bear,03.06.22
Beck,00:45 - 02:00,Pull & Bear,03.06.22
Georgia,16:45 - 17:30,Dice FKA Ray-Ban,03.06.22
Beach Bunny,18:25 - 19:15,Dice FKA Ray-Ban,03.06.22
Shellac,20:15 - 21:05,Dice FKA Ray-Ban,03.06.22
Little Simz,22:00 - 22:55,Dice FKA Ray-Ban,03.06.22
Bikini Kill,00:00 - 01:05,Dice FKA Ray-Ban,03.06.22
Low,02:30 - 04:00,Dice FKA Ray-Ban,03.06.22
Jamie xx,04:10 - 06:00,Dice FKA Ray-Ban,03.06.22
Manel,17:35 - 18:20,Primavera,03.06.22
Weyes Blood,19:20 - 20:10,Primavera,03.06.22
Jehnny Beth,21:10 - 21:55,Primavera,03.06.22
Warpaint,23:00 - 23:55,Primavera,03.06.22
King Gizzard & The Lizard Wizard,01:10 - 02:25,Primavera,03.06.22
Iosonouncane,17:45 - 18:30,Pitchfork,03.06.22
Chaqueta de Chandal,19:25 - 20:10,Pitchfork,03.06.22
Mariah The Scientist,21:05 - 21:50,Pitchfork,03.06.22
Helado Negro,22:45 - 23:30,Pitchfork,03.06.22
Wet Leg,00:25 - 01:10,Pitchfork,03.06.22
Earl Sweatshirt,02:05 - 02:50,Pitchfork,03.06.22
Young Marco,03:45 - 05:00,Pitchfork,03.06.22
Le Nais,17:00 - 17:40,Adidas,03.06.22
Pinpilinpussies,18:35 - 19:20,Adidas,03.06.22
Cariño,20:15 - 21:00,Adidas,03.06.22
Lightning Bolt,21:55 - 22:40,Adidas,03.06.22
Tropical Fuck Storm,23:35 - 00:20,Adidas,03.06.22
Kaydy Cain,01:15 - 02:00,Adidas,03.06.22
Paloma Mami,02:55 - 03:40,Adidas,03.06.22
Lorenzo Senni,16:00 - 17:00,Auditori,03.06.22
Za!,17:30 - 18:30,Auditori,03.06.22
Autechre,19:00 - 20:00,Auditori,03.06.22
Evian Christ,21:00 - 22:00,Auditori,03.06.22
Oscar Mulero,20:00 - 21:00,Desperados Cube (Primavera Bits),03.06.22
Gabriela Richardson,22:00 - 23:00,Desperados Cube (Primavera Bits),03.06.22
Buttechno,23:05 - 00:25,Desperados Cube (Primavera Bits),03.06.22
Deena Abdelwahed ,00:25 - 01:55,Desperados Cube (Primavera Bits),03.06.22
Mano Le Tough,01:55 - 03:25,Desperados Cube (Primavera Bits),03.06.22
Pabllo VIttar,03:25 - 04:30,Desperados Cube (Primavera Bits),03.06.22
Jeff Mills,04:30 - 06:00,Desperados Cube (Primavera Bits),03.06.22
Dj Stingray 313.. ,22:30 - 23:15,El Punto by adidas Originals (Primavera Bits),03.06.22
Mainline Magic Orchestra,23:15 - 00:00,El Punto by adidas Originals (Primavera Bits),03.06.22
Lory D,01:45 - 02:45,El Punto by adidas Originals (Primavera Bits),03.06.22
Jasmine Infiniti ,03:00 - 03:45,El Punto by adidas Originals (Primavera Bits),03.06.22
Violet,00:00 - 01:10,Lotus (Primavera Bits),03.06.22
Nidia,01:35 - 02:35,Lotus (Primavera Bits),03.06.22
