Artist,Hour,stage,date,id
Amaarae,18:45 - 19:30,Cupra FKA Seat,02.06.22,21UPYSRWFKwtqvSAnFnSvS
Kehlani,20:40 - 21:40,Cupra FKA Seat,02.06.22,0cGUm45nv7Z6M6qdXYQGTX
Bad Gyal,23:20 - 00:20,Cupra FKA Seat,02.06.22,4F4pp8NUW08JuXwnoxglpN
Charli XCX,02:00 - 03:00,Cupra FKA Seat,02.06.22,25uiPmTg16RbhZWAqwLBy5
Verde Prato,18:00 - 18:40,Pull & Bear,02.06.22,04WGKyAt0klDPxUw2roFfi
Kacey Musgraves,19:35 - 20:35,Pull & Bear,02.06.22,70kkdajctXSbqSMJbQO424
Pavement,21:45 - 23:15,Pull & Bear,02.06.22,3inCNiUr4R6XQ3W43s9Aqi
Tame Impala,00:25 - 01:55,Pull & Bear,02.06.22,5INjqkS1o8h1imAzPqGZBb
Faye Webster,16:45 - 17:30,Dice FKA Ray-Ban,02.06.22,5szilpXHcwOqnyKLqGco5j
The Linda Lindas,18:30 - 19:15,Dice FKA Ray-Ban,02.06.22,13dTrWNNrnZ3AkgNyQNKP5
Sharon Van Etten,20:25 - 21:25,Dice FKA Ray-Ban,02.06.22,2wJ4vsxWd7df7dRU4KcoDe
El Mato a un Policia Motorizado,22:35 - 23:35,Dice FKA Ray-Ban,02.06.22,5rLsN2LxYaEPLa1N7I2mPB
Mabel,00:45 - 01:45,Dice FKA Ray-Ban,02.06.22,1MIVXf74SZHmTIp4V4paH4
Fred Again..,02:55 - 04:00,Dice FKA Ray-Ban,02.06.22,4oLeXFyACqeem2VImYeBFe
DJ Shadow,04:10 - 06:00,Dice FKA Ray-Ban,02.06.22,5CE2IfdYZEQGIDsfiRm8SI
Carolina Durante,17:35 - 18:25,Primavera,02.06.22,2BVE7Pqd8kxv9xEsuvoJoE
Yo La Tengo,19:20 - 20:20,Primavera,02.06.22,5hAhrnb0Ch4ODwWu4tsbpi
100 gecs,21:30 - 22:30,Primavera,02.06.22,6PfSUFtkMVoDkx4MQkzOi3
Dinosaur Jr.,23:40 - 00:40,Primavera,02.06.22,267VY6GX5LyU5c9M85ECZQ
Cigarettes After Sex,01:50 - 02:50,Primavera,02.06.22,1QAJqy2dA3ihHBFIHRphZj
CARLA,17:45 - 18:30,Pitchfork,02.06.22,7p7YeMEkvlFLwiNlm1Zt7C
Gustaf,19:25 - 20:10,Pitchfork,02.06.22,6QqLYrbjh5CnfMG7z5r96E
Kim Gordon,21:05 - 21:50,Pitchfork,02.06.22,3n8qeKQViV1waeCzZmS4Tx
girl in red,22:40 - 23:25,Pitchfork,02.06.22,3uwAm6vQy7kWPS2bciKWx9
Rina Sawayama,00:25 - 01:10,Pitchfork,02.06.22,2KEqzdPS7M5YwGmiuPTdr5
black midi,02:05 - 02:50,Pitchfork,02.06.22,7Hvq85OU8T7Hsd63zNBwaL
Les Savy Fav,17:00 - 17:40,Adidas,02.06.22,5DZBnxCYzs32O2bbqK8KNg
Pond,18:35 - 19:20,Adidas,02.06.22,4skJp5OKvcc9eKokiuhi2s
Aiko El Groupo,20:15 - 21:00,Adidas,02.06.22,0mk9dVJMJF4fanFzeZo6K1
